restaurant_id,owner_id,name,description,address,latitude,longitude,phone,opening_hours,price_range,rating_avg,approval_status,is_active,created_at,updated_at
146db025-665d-4b1c-ae86-02d361189aa9,cd345e13-0260-4883-a8f3-6fbed7521477,Happy Thái Thủ Đức-Món Thái Ngon Tuyệt,Quán Món ăn Thái Lan được đánh giá 4.8 sao. Phù hợp cho mọi người.,"20 Đoàn Kết, Thủ Đức, Hồ Chí Minh 700000, Việt Nam",10.8472378,106.7685329,904192236,"{""mon"": ""08:00-22:00"", ""tue"": ""08:00-22:00"", ""wed"": ""08:00-22:00"", ""thu"": ""08:00-22:00"", ""fri"": ""08:00-22:00"", ""sat"": ""08:00-22:00"", ""sun"": ""08:00-22:00""}",50000 - 60000,4.8,APPROVED,True,2026-05-12T13:53:46Z,2026-05-12T13:53:46Z
db62dce8-6248-47c7-974a-2abf6402197d,2d5c3196-5509-456d-a8fe-3a2af9d28384,Hội An Bistro,Quán Nhà hàng được đánh giá 4.2 sao. Phù hợp cho mọi người.,"23 Hồng Đức, Thủ Đức, Hồ Chí Minh, Việt Nam",10.8438106,106.7642801,901125471,"{""mon"": ""08:00-22:00"", ""tue"": ""08:00-22:00"", ""wed"": ""08:00-22:00"", ""thu"": ""08:00-22:00"", ""fri"": ""08:00-22:00"", ""sat"": ""08:00-22:00"", ""sun"": ""08:00-22:00""}",50000 - 70000,4.2,APPROVED,True,2026-05-12T13:53:46Z,2026-05-12T13:53:46Z
2037aa13-62c6-4776-b970-dc4545feb065,daf23c8d-5377-4871-a4bf-dba97295a0cf,Beefsteak 100gram CN Thủ Đức,Quán Món ăn miền Tây được đánh giá 4.5 sao. Phù hợp cho mọi người.,"24 Bác Ái, Thủ Đức, Hồ Chí Minh, Việt Nam",10.8466362,106.7666138,903669658,"{""mon"": ""08:00-22:00"", ""tue"": ""08:00-22:00"", ""wed"": ""08:00-22:00"", ""thu"": ""08:00-22:00"", ""fri"": ""08:00-22:00"", ""sat"": ""08:00-22:00"", ""sun"": ""08:00-22:00""}",30000 - 80000,4.5,APPROVED,True,2026-05-12T13:53:46Z,2026-05-12T13:53:46Z
1b24fb7f-7bcd-4e7f-8cb6-a9c0f5c5e516,b54dcb6f-b2d5-4eb6-bd6c-010e2dd27a7f,Tiệm Lẩu 67 - Chi Nhánh Thủ Đức,Quán Món lẩu được đánh giá 4.2 sao. Phù hợp cho mọi người.,"5 Thống Nhất, Thủ Đức, Hồ Chí Minh, Việt Nam",10.8399018,106.7666022,904411211,"{""mon"": ""08:00-22:00"", ""tue"": ""08:00-22:00"", ""wed"": ""08:00-22:00"", ""thu"": ""08:00-22:00"", ""fri"": ""08:00-22:00"", ""sat"": ""08:00-22:00"", ""sun"": ""08:00-22:00""}",40000 - 90000,4.2,APPROVED,True,2026-05-12T13:53:46Z,2026-05-12T13:53:46Z
604a9d4b-1a55-4c8c-b353-810b2eddcd25,6a2313b5-4ef6-48a8-bec0-4c908814fa8d,Cơm Niêu Đồng Tre,Quán Nhà hàng được đánh giá 3.9 sao. Phù hợp cho mọi người.,"24 Thống Nhất, Thủ Đức, Hồ Chí Minh, Việt Nam",10.8442009,106.7692301,906010483,"{""mon"": ""08:00-22:00"", ""tue"": ""08:00-22:00"", ""wed"": ""08:00-22:00"", ""thu"": ""08:00-22:00"", ""fri"": ""08:00-22:00"", ""sat"": ""08:00-22:00"", ""sun"": ""08:00-22:00""}",40000 - 90000,3.9,APPROVED,True,2026-05-12T13:53:46Z,2026-05-12T13:53:46Z
bb7e9cc5-2b81-4f3c-8da1-ad7335247d75,b9b489e1-d6b0-4162-8998-539fa36dad61,Taiki Sushi Thủ Đức,Quán Món ăn Nhật Bản được đánh giá 4.7 sao. Phù hợp cho mọi người.,"5A Khổng Tử, Thủ Đức, Hồ Chí Minh 760000, Việt Nam",10.8439298,106.7684081,909338178,"{""mon"": ""08:00-22:00"", ""tue"": ""08:00-22:00"", ""wed"": ""08:00-22:00"", ""thu"": ""08:00-22:00"", ""fri"": ""08:00-22:00"", ""sat"": ""08:00-22:00"", ""sun"": ""08:00-22:00""}",40000 - 80000,4.7,APPROVED,True,2026-05-12T13:53:46Z,2026-05-12T13:53:46Z
2f96e934-56c2-421d-b105-cb877bd9dbdf,591476e7-52d0-43ca-88ff-dd51db41dad7,Thai Market Restaurant - GigaMall Thủ Đức,Quán Món ăn Thái Lan được đánh giá 4.9 sao. Phù hợp cho mọi người.,"242 Đ. Phạm Văn Đồng, Hiệp Bình, Hồ Chí Minh 700000, Việt Nam",10.8276003,106.7212132,902446269,"{""mon"": ""08:00-22:00"", ""tue"": ""08:00-22:00"", ""wed"": ""08:00-22:00"", ""thu"": ""08:00-22:00"", ""fri"": ""08:00-22:00"", ""sat"": ""08:00-22:00"", ""sun"": ""08:00-22:00""}",50000 - 80000,4.9,APPROVED,True,2026-05-12T13:53:46Z,2026-05-12T13:53:46Z
cbdd0762-1248-4e13-8494-e298f2961d30,b7ab1b94-4aad-4fc3-a688-7cbd5b0d7d02,Phở Ngọc Mai Thủ Đức,Quán Phở được đánh giá 4.8 sao. Phù hợp cho mọi người.,"8A Đ. số 6, Thủ Đức, Hồ Chí Minh 71300, Việt Nam",10.8522351,106.764431,903564649,"{""mon"": ""08:00-22:00"", ""tue"": ""08:00-22:00"", ""wed"": ""08:00-22:00"", ""thu"": ""08:00-22:00"", ""fri"": ""08:00-22:00"", ""sat"": ""08:00-22:00"", ""sun"": ""08:00-22:00""}",50000 - 90000,4.8,APPROVED,True,2026-05-12T13:53:46Z,2026-05-12T13:53:46Z
9331a273-0e04-4ee5-b93a-d0bb8e908815,7e930fd4-caba-4876-ae5d-0b3df66c72db,Ẩm Thực Hải Sơn | Heo Mẹt Hải Sơn | Nhà Hàng Vinhomes Grand Park Thủ Đức,Quán Món ăn chia theo đĩa nhỏ được đánh giá 4.4 sao. Phù hợp cho mọi người.,"02 Manhattan, Vinhomes Grand Park, Long Bình, Hồ Chí Minh 71500, Việt Nam",10.8377246,106.8442239,901303852,"{""mon"": ""08:00-22:00"", ""tue"": ""08:00-22:00"", ""wed"": ""08:00-22:00"", ""thu"": ""08:00-22:00"", ""fri"": ""08:00-22:00"", ""sat"": ""08:00-22:00"", ""sun"": ""08:00-22:00""}",50000 - 90000,4.4,APPROVED,True,2026-05-12T13:53:46Z,2026-05-12T13:53:46Z
717bfd6b-e7a3-4725-ac11-fe9bfb904661,bdcdfbe1-897b-4f48-b0e1-ba033664e730,Uchi Sushi Tp Thủ Đức,Quán Món ăn Nhật Bản được đánh giá 4.9 sao. Phù hợp cho mọi người.,"327 Hoàng Hữu Nam, Tăng Nhơn Phú, Hồ Chí Minh 70000, Việt Nam",10.8681949,106.8136781,901953012,"{""mon"": ""08:00-22:00"", ""tue"": ""08:00-22:00"", ""wed"": ""08:00-22:00"", ""thu"": ""08:00-22:00"", ""fri"": ""08:00-22:00"", ""sat"": ""08:00-22:00"", ""sun"": ""08:00-22:00""}",40000 - 90000,4.9,APPROVED,True,2026-05-12T13:53:46Z,2026-05-12T13:53:46Z
